instrument,net_pnl,absolute_share
ALGO,26648.51268280001,0.16080158630367206
ULXY,7820.389534000002,0.04718953952696559
AENO,7211.854152999999,0.04351753517342175
NAYO,6347.050250999992,0.03829916366659607
ACAC,6051.703470000004,0.03651699175104542
MDGI,6044.4675980000075,0.036473329288162805
NWIG,5976.429540000001,0.03606277625709312
MSDP,5961.558847999999,0.03597304401231471
EAFC,5708.235979000011,0.03444445141628262
DUCT,4191.186340999999,0.0252903199570337
EELT,4146.369724000004,0.02501988898806579
HRET,3666.9560790000055,0.022127026803626413
CCNS,3665.732172999994,0.02211964154994899
BLBT,3447.4403599999946,0.020802432209775932
ALUT,3353.260997000002,0.02023413816846372
MMBT,3224.903447999994,0.01945960723163682
SPLZ,2814.439035000004,0.016982796254707323
GARI,2794.758660999997,0.016864041583633572
CUBO,2695.44120100001,0.016264743404941693
SMAH,2626.5950329999987,0.015849314102859995
ITPA,2445.826668999991,0.014758527535117234
RCRI,2271.216194000004,0.013704898700388385
MHRM,2231.968528000001,0.013468071713958082
AMRP,2158.942538999996,0.01302742067228946
FWWG,2015.688319999996,0.012163000735083673
HUXZ,1968.440869999999,0.011877901712889213
BENI,1950.1369709999942,0.011767452922377812
ANSO,1532.7578949999981,0.009248917711439791
FCSG,1524.6897710000055,0.009200233300675998
LSST,804.1340530000016,0.0048522794822489475
CTGI,506.82882600000505,0.003058289975704016
RTTH,473.77934299999885,0.0028588638630284153
HTRK,208.5014009999993,0.0012581323553181932
DIHO,-372.20004699999834,0.0022459173872968444
ILVX,-461.5510780000072,0.002785076465091964
MTNS,-463.6868319999934,0.002797963962238244
NGTE,-534.7381770000012,0.003226699671469213
ACIX,-721.2488710000066,0.004352136419658058
FARS,-839.5233580000017,0.005065824472542438
AGVF,-1116.2602339999985,0.006735701106154487
OTCS,-1584.8193959999958,0.009563065523206906
IHOZ,-1586.4063180000055,0.009572641276194668
SRTX,-1718.5808930000026,0.010370204786849102
AETS,-1973.6187240000038,0.011909145750661983
ELLT,-2012.9544909999922,0.01214650435327369
HETT,-2067.891201999994,0.012478001663470984
HRND,-2294.725870999993,0.013846760026762713
RRES,-2579.752337000001,0.015566657434054533
EORC,-3159.7905960000094,0.019066705383230412
NPCK,-3215.9257920000086,0.019405434552535742
SRNA,-4529.075786999999,0.027329201434540613
