test,score,mean_pnl,std_pnl,sharpe,volume,elapsed,fold_median,fold_min,positive_folds
selected,355.6694751257109,413.02978593520004,2622.610692534651,2.4901043619720427,49696427.85,0.01952895789872855,295.8099635332727,2.671567744510213e-05,8
vol_40,349.4834839570574,407.52867817840007,2626.019739479572,2.453749329273708,49914285.56999999,0.018243083031848073,306.2215319239867,-65.14853557550994,7
vol_80,355.46936380237076,412.373831248,2608.7544036380477,2.4993547732493355,49764550.43999999,0.02001891704276204,297.0698127382355,0.09467910007393346,8
vol_120,356.40501028491957,413.60447066560005,2619.86730013783,2.4961802028346725,49903012.03999998,0.022779749939218163,311.35902503329123,0.39341031921736325,8
short_weight_0.4,313.23395528238325,374.5971854192001,2621.526205218144,2.2593333392113024,45721834.05999994,0.019551999983377755,354.8901125432164,-84.26272137551,6
short_weight_0.6,346.7938174269623,403.62205508159997,2583.397973016563,2.4703220743906877,53251784.67999999,0.0189517920371145,218.07438676823892,0.23932759967529574,8
strength_3.0,342.14690244823953,398.5487873896,2558.538752271338,2.4629721276069803,48399222.43,0.01890183298382908,282.70085308578837,-0.07478179591856932,7
strength_5.0,361.69462983943873,419.4896682608,2651.3405942320105,2.5016454119445557,50302617.17999999,0.0191025409149006,302.5778893184611,3.4147079409170324e-05,8
threshold_0.15,354.6793110379731,415.2356904831999,2712.8557523581107,2.420125999287337,50735612.040000014,0.018716417020186782,294.049722575447,-64.11949224489801,6
threshold_0.35,302.6855659838021,361.2860355456,2513.482536439201,2.272716723855156,47051095.76,0.019228374934755266,226.15070252766498,0.00647261965153197,8
pair_weight_1.0,338.51884672351923,399.1240880511999,2670.186585200986,2.3633951167955267,49364572.55999994,0.020137500017881393,300.1204189023832,-20.49819332244948,7
pair_weight_2.0,350.2010180759125,408.5765037152,2637.5453961175303,2.449308269859834,49681233.39999999,0.020229790941812098,290.6132406357095,-14.479132240816593,7
pair_weight_4.0,355.3889798933781,412.7363127712,2621.4846446451697,2.4894039034001243,49832210.760000005,0.019446416990831494,304.59065933227106,-14.114271302040992,7
pair_weight_5.0,353.58314293048994,410.9939280752,2618.5229059284643,2.481698583339719,49740172.50000001,0.019947250024415553,308.9594181990582,-17.960298465306384,7
pair_lookback_80,334.90829533797637,393.95296394720003,2615.4219786144,2.3816207618384864,49520882.82,0.018140750005841255,303.77707162346826,-13.455891934694119,7
pair_lookback_100,348.3688496098132,406.41034332720005,2622.9160453543504,2.449911334068911,49547434.36999998,0.019737832946702838,314.91091443967844,-9.203468669388007,7
pair_lookback_160,350.44421891916556,408.43758745520006,2627.0928610331166,2.4582173655535016,49417724.049999975,0.02176737494301051,286.739182972705,-12.099702191999741,6
pair_lookback_200,352.4626597998302,410.03206337920005,2620.155889500938,2.47434749812493,49319234.239999995,0.022103916038759053,289.25976013161113,-57.61688449199997,6
pair_z_40,346.68629293373607,405.32420949120007,2635.684840683878,2.4315268521764093,49578568.95999999,0.019219334004446864,289.20487110816856,-9.276527567347218,7
pair_z_80,353.2543002597403,411.34297308320004,2637.4005074865927,2.4660279899769053,49648559.97999998,0.019269542070105672,312.69393668692214,-18.152113057143122,7
pair_z_100,369.3926670530312,425.9462176072,2635.1817463100024,2.5557254452346445,49802548.67000001,0.019422207958996296,311.9396142501407,0.005787864532290297,8
no_pairs,260.53644175320477,332.1294195832,2752.823236529388,1.9076514428815765,48913843.729999974,0.013476124964654446,221.22278875416896,-81.66163468979624,6
AENO_NWIG_only,312.9479347360444,377.21074051520003,2702.700059748522,2.2067655891082842,49463041.39999999,0.016837666044011712,271.1533400325257,-42.57081601199982,6
HUXZ_ACAC_only,303.97731222052613,367.9484650032,2668.876655658344,2.179859471036226,49147230.17999998,0.016228790977038443,246.33679654391642,-39.77376173061253,7
no_deadband,355.63642640066456,413.0494816088,2624.0632325475694,2.4888446513682854,49768188.80999999,0.018624374992214143,296.3532471646383,2.07597858060711e-08,8
wide_deadband,354.08840428245475,411.3631831752,2615.9008716261433,2.4864180032212637,49265716.949999996,0.019012458040378988,295.8141444380781,-0.3127847918371377,7
