strategy,official_score,official_mean,official_std,official_sharpe,early_score,fold_median,fold_min,positive_folds,volume
saved_leadlag,507.4164954566743,526.3769808000001,1608.8269302978863,5.173179712072934,364.81458510691186,430.23149888862383,116.19558120726877,8,108227621.24000002
index_basket_OU_b60_o60,0.0018702225373411552,0.41029644080004185,95.86893821264646,0.06766901214190227,-1.366466300671191,1.3616286068811104e-06,-5.868961983999741,4,4618613.929999999
index_basket_OU_b120_o60,2.529082325330856,4.800684834399962,71.93792162390908,1.0551526971198033,-0.2869110456375692,2.572697596290132,-9.426555608000001,5,4172380.5700000003
index_basket_OU_b180_o60,-3.9203722440000193,-3.9203722440000193,62.47164357845111,-0.9922346249124259,1.7846481682124076,0.0,-13.425103612244682,2,2105561.05
index_basket_OU_b180_o90,-5.603937968799984,-5.603937968799984,90.44183332077851,-0.9797019364286926,5.186175893377542,0.0,-8.189226240000107,3,2199927.8500000006
PCA_OU_k1,91.86262723510228,116.06593741439993,941.9822948391305,1.94819331001725,-51.470215073825486,33.37337505024275,-174.72130773999987,6,11785505.160000004
PCA_OU_k3,69.30030059613223,95.1938075544,920.0397267499817,1.6359578954216774,-31.87286982281878,6.558869861916712,-169.56621169199977,5,11623254.009999992
PCA_OU_k5,47.17961912282352,75.97693479920017,938.5351903323942,1.279974187853782,0.005041609466747637,20.859608656681218,-117.6900193639999,6,11956160.729999999
PCA_OU_k10,79.77396472970433,103.83040565759993,901.5289021541603,1.8210207763317106,-57.95782892483221,37.722002342779454,-201.25962203600002,5,13111626.760000002
PCA_OU_k15,103.06832602304145,123.60093355359999,872.2705241626318,2.2404773526408355,-4.102659084563804,51.07605053133321,-127.19445979600016,6,13921334.7
leadlag_plus_index_predictor,483.4766122596408,503.5406459967997,1621.906919395006,4.908836989290351,339.6817294080361,430.6610437453468,184.4533603450335,8,109383022.84000005
leadlag_no_index_predictor,507.4164954566743,526.3769808000001,1608.8269302978863,5.173179712072934,364.81458510691186,430.23149888862383,116.19558120726877,8,108227621.24000002
bidirectional_factor_0.25,481.0703727034383,501.3882759607998,1629.2184416976795,4.865918846612801,349.4772649743914,426.4442547638,197.24862325011097,8,110147148.29000002
bidirectional_factor_0.50,478.93386696404497,499.64044341439967,1642.6459425420028,4.809319438250092,358.13629701405847,421.9573059503307,209.60829193541807,8,111262555.11999995
beta_residual_w0_s0.5,465.49550526272844,484.22861682239954,1535.9167258737402,4.984857940526085,79.93370208788019,362.2205010064713,-156.87944278400016,7,108717120.72
beta_residual_w0_s1.0,537.2052816634283,552.7382230991996,1486.0937848235046,5.880893092609745,155.71623388383696,415.68573630372674,0.5001156216333511,8,110143240.09999998
beta_residual_w120_s0.5,496.356346546405,514.8687041783998,1572.1738738552647,5.178046233368093,158.22910089151995,443.78564916423977,-126.113214368,7,108579209.25
beta_residual_w120_s1.0,445.1220404498047,465.9146677215996,1592.1776451362036,4.626844089230851,111.66936538119215,346.4820292445607,-27.76474145599975,7,109825519.9999999
beta_residual_w250_s0.5,517.3946829905427,535.7171908167996,1593.9954023725259,5.313962958006727,79.93370208788019,367.606600206397,-156.87944278400016,7,107796778.11000003
beta_residual_w250_s1.0,532.72989058685,549.8814492175997,1560.0457566544208,5.573162887000572,155.71623388383696,379.7845598366607,0.5001156216333511,8,109707344.17999999
ridge_VAR_0.01,320.55858099242874,351.4209547543997,1724.0847818714967,3.222842189142732,117.09554858569261,274.11298497777625,-30.29147433199786,7,108049688.4900001
ridge_VAR_0.1,395.62255295358545,422.22013177039986,1730.9697287187407,3.8567320624352557,127.87611629859582,323.7526193052827,-28.68214525999768,7,108536606.83000001
ridge_VAR_1.0,423.0019186425372,446.2073990383996,1652.459731301657,4.269488880886334,225.47077311954646,388.7871873018311,0.003215434438558859,8,106865893.74
ridge_VAR_10.0,450.7222265843696,472.04281542399946,1623.2914690280056,4.5978509661980675,211.00956776260728,344.834142208402,-61.847336927999,7,107040546.43999995
PCA_leadlag_k1,332.5321198455003,354.71473931679964,1448.5678877103512,3.8717774478867124,111.11095793165977,277.70780534450284,-117.76771764799902,7,112652344.42000002
PCA_leadlag_k2,520.9905373847711,536.4908931175995,1463.148052431143,5.797544422694049,0.550164669442207,371.17512496802857,-164.37516364799964,6,111430657.50999999
PCA_leadlag_k3,337.84109208267876,363.060224604,1568.402450121538,3.6600849401630793,-13.200469170469303,209.2081497489301,-123.65771622000032,6,111912432.41000007
PCA_leadlag_k5,98.21506446890527,141.75287649759977,1492.2656142711319,1.5019509607608021,21.707496289518534,23.895640512837723,-155.571602603999,6,111241999.02000004
PCA_leadlag_k10,4.477126158670029,35.02944188720027,1446.8570432984893,0.3828049980512389,-34.48362908590521,2.9163163335964497,-222.65047687999896,5,109460141.40999998
