reversal_weight,freeze_at,score,mean_pnl,std_pnl,sharpe
0.0,120,160.58190996044289,198.1999932415996,1516.7837314540195,2.066093530264219
0.0,180,161.14557044389878,200.78060696879956,1574.4258526397762,2.016366877322076
0.0,249,344.05647075629935,367.14758754719946,1503.8976721253587,3.860045253093673
0.0,300,322.92388634132544,348.5581348847994,1552.7639425175041,3.549276142480146
0.0,350,383.97464734381055,407.2792015439999,1586.4681647555997,4.059110510711746
0.15,120,230.0770873059268,261.13749822559936,1517.0718734893974,2.721655088666582
0.15,180,194.22621921674386,232.10511458959968,1620.6880858022175,2.2644111013940194
0.15,249,292.0963091087263,319.5782347815996,1549.9145082651653,3.2601640514258645
0.15,300,331.8441979868272,356.86633791279974,1549.4254971381986,3.641706071482993
0.15,350,409.90278021856415,432.6667971808,1612.1579578935834,4.243419636153795
0.2,120,239.54659163291674,268.9932834535994,1491.195890358475,2.852178766386524
0.2,180,243.70157865656645,276.18576383999954,1594.3296057346897,2.739007253915059
0.2,249,290.5694784936221,320.02037712159955,1610.9123664146844,3.1410563059449035
0.2,300,378.7684880227289,401.06858456719993,1538.7040650029721,4.121293541814874
0.2,350,410.64801227119597,433.86321908800016,1631.076214454739,4.20579968346045
0.25,120,201.95020662916306,234.01892512399945,1474.4825470558026,2.509466186812156
0.25,180,265.80443224386227,296.06096663999955,1579.3545610938463,2.9639544023765767
0.25,249,337.5440669305147,365.0045503703997,1646.1034797723164,3.5059938505681627
0.25,300,356.6074671949237,380.4982308815999,1557.1930116855654,3.8634936267407185
0.25,350,424.83238804612324,447.96130799839995,1652.6442447956622,4.285792424365042
