test,score,mean_pnl,std_pnl,sharpe,volume,elapsed
current_teamName,212.73573214036693,292.60141030240004,2834.6946895081564,1.632075063599859,37164656.61999998,0.00892245804425329
reversal_20_80,42.868468835244826,63.45827924079997,695.3692530096963,1.4429218571813267,12058451.730000008,0.03544066706672311
strength_3.0,40.94262947986267,62.35130031759999,712.8899728400597,1.3829071216367954,11005155.670000004,0.03770266694482416
sleeves_1.0_0.0,40.19331804717307,72.66149642879999,1032.5863361630597,1.112622832900405,15049556.320000015,0.035903749987483025
entry_1.0,39.55786201789011,59.06108015999998,655.7044383303169,1.4241747001969813,9942748.599999994,0.03749037510715425
sleeves_0.8_0.2,36.447300782832805,63.11961446319999,853.7525256611999,1.1689672401310558,12732642.970000003,0.03472962498199195
deadband_0.03,35.52155794661931,55.22821253359996,650.4163372131624,1.3425780743326947,9637415.129999999,0.03730033303145319
default,35.2083480918511,54.998151695199965,651.952592066937,1.333834918156334,9831656.249999996,0.03666387498378754
deadband_0.0,35.01551778859098,54.82048922159996,651.8831342611379,1.3296678443863654,9875277.569999993,0.039019249961711466
entry_1.5,34.9795062452525,54.72194307599997,650.0175095751,1.3310870519730782,9801788.109999992,0.03805724997073412
sleeves_0.4_0.6,34.44737070967206,47.104117423999966,451.45231092762623,1.6497456611285668,6755259.320000002,0.03646345902234316
deadband_0.05,33.74123234111129,53.60104965999996,650.2052222183222,1.3034454054606128,9425458.369999997,0.036152707994915545
entry_2.0,31.474414104045994,51.575069143199975,651.6825636090833,1.2513353746181735,9726358.150000002,0.036899124970659614
hedge_0.5,28.356342510333313,49.20853211759997,667.2078395652611,1.1661361915843012,9231900.969999999,0.035726333037018776
sleeves_0.0_1.0,28.256656281307595,33.81138364079995,237.0303387297507,2.2554282232324248,907430.6499999994,0.036156582995317876
strength_1.0,27.13839696114698,42.2577222248,498.7124360579537,1.339756554071143,7488672.750000003,0.03698783309664577
wrong_HUXZ_RCRI_index,25.763957418709857,46.746057003199965,667.0112735880514,1.1081072960505425,9847123.299999995,0.0363982500275597
hedge_0.0,20.27892643021025,43.35040524399996,731.102724575286,0.9375291149542876,8630486.889999999,0.037743583088740706
reversal_120_only,13.180484776378036,33.06763760879998,642.2347306663776,0.8141030583658398,7667743.9700000025,0.035207999986596406
reversal_20_only,13.108673839688958,36.92050921759994,786.7825939824285,0.7419641867640536,17232610.500000007,0.03695241594687104
